                                                       ESTADO DE AVANCE PRESUPUESTAL DE EGRESOS DEL 1 DE ENERO DE 2016 AL 31 DE DICIEMBRE DE 2016                                                       
                                                                                               JOCOTITLAN                                                                                               
                                      Funcion/SubFuncion/ Programa/Proyecto/Ff: 010301010101041, Relaciones públicas Ingresos de gestión de Organismos municipales                                      
                                                                                                                                                                                             Hoja no.: 1
     PART                      DESCRIPCION                    APROBADO      AMPLIACION      REDUCCION     MODIFICADO      COMPROMETIDO      DEVENGADO       PAGADO        EJERCIDO       POR EJERCER    
1000           SERVICIOS PERSONALES                                   0.00     462,032.53           0.00     462,032.53       -639,048.60     119,477.63           0.00     177,016.07        285,016.46
1100           REMUNERACIONES AL PERSONAL                             0.00     192,052.50           0.00     192,052.50       -287,806.10      91,193.94           0.00      95,753.60         96,298.90
1110           Dietas.                                                0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1111           Dietas.                                                0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1120           Haberes.                                               0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1121           Haberes.                                               0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1130           Sueldos base al personal permanente.                   0.00     192,052.50           0.00     192,052.50       -287,806.10      91,193.94           0.00      95,753.60         96,298.90
1131           Sueldo base.                                           0.00     192,052.50           0.00     192,052.50       -287,806.10      91,193.94           0.00      95,753.60         96,298.90
1132           Otro sueldo magisterio.                                0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1133           Hora clase.                                            0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1134           Carrera magisterial.                                   0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1135           Carrera docente.                                       0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1140           Remuneraciones por adscripción                         0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
1141           Remuneraciones por adscripción                         0.00           0.00           0.00           0.00              0.00           0.00           0.00           0.00              0.00
