                                                       ESTADO DE AVANCE PRESUPUESTAL DE EGRESOS DEL 1 DE ENERO DE 2016 AL 31 DE DICIEMBRE DE 2016                                                       
                                                                                               JOCOTITLAN                                                                                               
                                                                              Funcion/Subfun/Programa: 010301, Gubernatura                                                                              
                                                                                                                                                                                             Hoja no.: 1
 PART             DESCRIPCION                 APROBADO         AMPLIACION       REDUCCION         MODIFICADO       COMPROMETIDO      DEVENGADO           PAGADO           EJERCIDO       POR EJERCER    
1000  SERVICIOS PERSONALES                             0.00      5,394,966.89             0.00      5,394,966.89     -8,767,935.02     1,776,429.29         38,400.00      2,690,608.13     2,704,358.76
1100  REMUNERACIONES AL                                0.00      2,529,937.91             0.00      2,529,937.91     -3,823,330.71     1,228,317.86         38,400.00      1,063,290.62     1,466,647.29
1110  Dietas.                                          0.00      1,534,755.24             0.00      1,534,755.24     -2,296,272.66       742,811.00              0.00        761,517.42       773,237.82
1111  Dietas.                                          0.00      1,534,755.24             0.00      1,534,755.24     -2,296,272.66       742,811.00              0.00        761,517.42       773,237.82
1120  Haberes.                                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1121  Haberes.                                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1130  Sueldos base al personal                         0.00        995,182.67             0.00        995,182.67     -1,527,058.05       485,506.86         38,400.00        401,906.86       593,275.81
1131  Sueldo base.                                     0.00        995,182.67             0.00        995,182.67     -1,527,058.05       447,106.86              0.00        531,875.38       463,307.29
1132  Otro sueldo magisterio.                          0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1133  Hora clase.                                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1134  Carrera magisterial.                             0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1135  Carrera docente.                                 0.00              0.00             0.00              0.00              0.00        38,400.00         38,400.00         76,800.00       -76,800.00
1140  Remuneraciones por                               0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1141  Remuneraciones por                               0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1200  REMUNERACIONES AL                                0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1210  Honorarios asimilables a                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1211  Honorarios asimilables al                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1220  Sueldos base al personal                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1221  Sueldo por Interinato.                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1222  Sueldos y salarios                               0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1223  Becas para médicos                               0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1230  Retribuciones por servicios de                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1231  Compensación por servicio                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1240  Retribución a los                                0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1241  Compensación a                                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1300  REMUNERACIONES                                   0.00      1,781,323.87             0.00      1,781,323.87     -3,076,820.81       545,284.37              0.00      1,295,496.94       485,826.93
1310  Primas por años de servicio                      0.00          9,017.65             0.00          9,017.65        -13,745.35         4,289.95              0.00          4,727.70         4,289.95
